,movieId,min(rating),max(rating),avg(rating)
0,1,0.5,5.0,3.9209302325581397
1,2,0.5,5.0,3.4318181818181817
2,3,0.5,5.0,3.2596153846153846
3,4,1.0,3.0,2.357142857142857
4,5,0.5,5.0,3.0714285714285716
5,6,1.0,5.0,3.946078431372549
6,7,1.0,5.0,3.185185185185185
7,8,1.0,5.0,2.875
8,9,1.5,5.0,3.125
9,10,0.5,5.0,3.496212121212121
10,11,1.0,5.0,3.6714285714285713
11,12,1.0,5.0,2.4210526315789473
12,13,2.0,4.0,3.125
13,14,3.0,5.0,3.8333333333333335
14,15,1.0,5.0,3.0
15,16,1.0,5.0,3.926829268292683
16,17,0.5,5.0,3.7761194029850746
17,18,2.0,5.0,3.7
18,19,1.0,5.0,2.727272727272727
19,20,1.0,4.0,2.5
20,21,1.0,5.0,3.49438202247191
21,22,1.0,5.0,3.2222222222222223
22,23,1.0,5.0,3.125
23,24,1.0,5.0,3.125
24,25,1.0,5.0,3.625
25,26,2.5,4.0,3.5
26,27,2.0,5.0,3.3333333333333335
27,28,2.5,5.0,4.2272727272727275
28,29,2.0,5.0,4.0131578947368425
29,30,1.0,4.0,3.0
30,31,0.5,5.0,3.1842105263157894
31,32,1.0,5.0,3.983050847457627
32,34,1.0,5.0,3.65234375
33,36,0.5,5.0,3.8358208955223883
34,38,1.0,3.0,2.125
35,39,0.5,5.0,3.293269230769231
36,40,3.5,5.0,4.25
37,41,2.5,5.0,3.7
38,42,2.0,4.0,3.0
39,43,2.0,4.0,3.1875
40,44,0.5,5.0,2.5434782608695654
41,45,2.0,5.0,3.3125
42,46,1.0,5.0,3.066666666666667
43,47,0.5,5.0,3.9753694581280787
44,48,0.5,5.0,3.1470588235294117
45,49,3.0,3.0,3.0
46,50,1.0,5.0,4.237745098039215
47,52,1.0,5.0,3.4642857142857144
48,53,5.0,5.0,5.0
49,54,1.0,4.0,2.3333333333333335
50,55,4.0,4.0,4.0
51,57,2.0,5.0,3.0625
52,58,2.0,5.0,4.027027027027027
53,60,1.0,5.0,3.235294117647059
54,61,2.5,5.0,3.75
55,62,1.0,5.0,3.70625
56,63,0.5,4.0,2.7142857142857144
57,64,1.0,3.0,2.2
58,65,1.0,5.0,2.532258064516129
59,66,0.5,4.0,2.5
60,68,2.0,5.0,3.4
61,69,2.0,5.0,3.775
62,70,1.0,5.0,3.5090909090909093
63,71,1.0,2.0,1.7
64,72,1.0,4.5,3.2142857142857144
65,73,2.0,4.0,3.4615384615384617
66,74,3.0,5.0,4.0
67,75,1.0,3.0,2.2
68,76,1.0,5.0,3.4
69,77,4.0,4.0,4.0
70,78,3.0,4.0,3.3333333333333335
71,79,1.0,5.0,2.764705882352941
72,80,4.0,4.0,4.0
73,81,2.0,5.0,3.107142857142857
74,82,1.0,5.0,3.875
75,83,3.0,3.0,3.0
76,85,1.0,5.0,3.857142857142857
77,86,3.0,5.0,3.966666666666667
78,87,0.5,3.0,2.5
79,88,0.5,5.0,3.15625
80,89,2.0,4.0,3.25
81,92,1.0,4.0,2.625
82,93,1.0,4.0,2.8333333333333335
83,94,3.0,5.0,3.95
84,95,1.0,5.0,3.0238095238095237
85,96,3.5,3.5,3.5
86,97,3.0,5.0,3.9
87,99,5.0,5.0,5.0
88,100,1.0,4.0,2.7857142857142856
89,101,1.0,5.0,3.782608695652174
90,102,1.0,5.0,2.4
91,103,3.0,3.0,3.0
92,104,0.5,5.0,3.4393939393939394
93,105,1.0,5.0,3.282608695652174
94,106,4.0,4.0,4.0
95,107,1.0,5.0,3.326923076923077
96,108,4.0,4.0,4.0
97,110,0.5,5.0,4.031645569620253
98,111,2.0,5.0,4.105769230769231
99,112,1.0,5.0,3.5434782608695654
100,113,3.0,4.0,3.3333333333333335
101,116,3.0,5.0,3.9
102,117,3.0,3.0,3.0
103,118,2.0,3.0,2.5
104,119,3.0,3.0,3.0
105,121,4.0,4.0,4.0
106,122,1.0,4.0,2.65625
107,123,3.0,5.0,4.375
108,125,1.0,5.0,3.5833333333333335
109,126,1.0,3.0,2.0
110,128,3.0,3.0,3.0
111,129,2.0,2.0,2.0
112,132,2.0,4.0,2.8333333333333335
113,135,1.0,5.0,2.9516129032258065
114,137,3.0,3.0,3.0
115,140,2.5,5.0,3.5
116,141,1.0,5.0,3.494186046511628
117,144,2.0,4.5,3.3333333333333335
118,145,1.0,5.0,3.2450980392156863
119,146,3.0,4.0,3.3333333333333335
120,147,2.0,5.0,3.466666666666667
121,148,5.0,5.0,5.0
122,149,2.0,2.0,2.0
123,150,1.0,5.0,3.845771144278607
124,151,1.0,5.0,3.5454545454545454
125,152,1.0,2.0,1.5
126,153,0.5,5.0,2.9160583941605838
127,154,3.0,5.0,3.875
128,155,1.0,4.0,2.4166666666666665
129,156,2.0,4.0,3.3333333333333335
130,157,1.5,5.0,2.8636363636363638
131,158,0.5,5.0,2.806451612903226
132,159,1.0,4.5,2.892857142857143
133,160,1.0,5.0,2.8771929824561404
134,161,1.0,5.0,3.6359223300970873
135,162,3.0,5.0,4.205882352941177
136,163,1.0,5.0,3.5606060606060606
137,164,2.0,5.0,3.3214285714285716
138,165,1.0,5.0,3.5555555555555554
139,166,1.5,4.0,2.8333333333333335
140,168,0.5,5.0,3.0833333333333335
141,169,0.5,3.5,2.4
142,170,1.0,5.0,3.2285714285714286
143,171,3.0,5.0,3.8333333333333335
144,172,0.5,5.0,2.6792452830188678
145,173,0.5,5.0,2.6693548387096775
146,174,1.0,5.0,2.7
147,175,2.5,5.0,3.975
148,176,3.5,5.0,4.3076923076923075
149,177,1.0,4.0,2.75
150,178,1.0,1.0,1.0
151,179,1.0,2.0,1.5
152,180,0.5,5.0,3.4027777777777777
153,181,0.5,4.0,2.264705882352941
154,183,3.0,4.0,3.5
155,184,3.0,4.0,3.5
156,185,0.5,5.0,3.0401785714285716
157,186,0.5,5.0,2.8229166666666665
158,187,3.0,5.0,4.125
159,188,2.0,5.0,3.4583333333333335
160,189,3.0,3.0,3.0
161,190,1.0,5.0,2.8
162,191,1.0,5.0,2.4166666666666665
163,193,1.0,5.0,2.4714285714285715
164,194,1.0,5.0,3.6666666666666665
165,195,1.5,5.0,3.1
166,196,0.5,4.0,2.6666666666666665
167,198,2.0,5.0,3.25
168,199,3.0,5.0,4.125
169,201,3.0,3.0,3.0
170,202,3.0,3.0,3.0
171,203,2.5,5.0,3.4318181818181817
172,204,0.5,4.5,2.716666666666667
173,205,2.0,4.0,3.1666666666666665
174,206,2.0,4.0,3.0
175,207,1.5,5.0,3.4285714285714284
176,208,0.5,5.0,2.9130434782608696
177,209,2.5,4.0,3.1666666666666665
178,210,2.0,4.0,3.0
179,211,3.0,4.0,3.5
180,212,1.5,4.0,3.0
181,213,0.5,5.0,3.8333333333333335
